Name,Date,Time,Open,High,Low,Close,,
BANKNIFTY,1/1/2020,9:16,32242.6,32295.8,32220.9,32292,0,0
BANKNIFTY,1/1/2020,9:17,32296.3,32303.3,32283.9,32286.4,0,0
BANKNIFTY,1/1/2020,9:18,32288.3,32290.8,32279.3,32279.6,0,0
BANKNIFTY,1/1/2020,9:19,32282.9,32296.3,32270.7,32292.6,0,0
BANKNIFTY,1/1/2020,9:20,32292.4,32312.1,32292.4,32300.9,0,0
BANKNIFTY,1/1/2020,9:21,32298.7,32303.4,32288.2,32293.5,0,0
BANKNIFTY,1/1/2020,9:22,32295,32299.4,32287.4,32288.9,0,0
BANKNIFTY,1/1/2020,9:23,32289.4,32297.6,32286.2,32295.6,0,0
BANKNIFTY,1/1/2020,9:24,32295.4,32313.3,32295.4,32310.2,0,0
BANKNIFTY,1/1/2020,9:25,32314.3,32318.4,32302.5,32309.6,0,0
BANKNIFTY,1/1/2020,9:26,32308.3,32313.7,32302.9,32313.7,0,0
BANKNIFTY,1/1/2020,9:27,32311.7,32324.2,32311.7,32321.8,0,0
BANKNIFTY,1/1/2020,9:28,32323,32325.3,32313.7,32317.3,0,0
BANKNIFTY,1/1/2020,9:29,32318.4,32327.2,32315.3,32323.7,0,0
BANKNIFTY,1/1/2020,9:30,32320.1,32339.3,32319.3,32336.8,0,0
BANKNIFTY,1/1/2020,9:31,32336.7,32346.6,32335.9,32340.6,0,0
BANKNIFTY,1/1/2020,9:32,32341.8,32348,32337.7,32339.6,0,0
BANKNIFTY,1/1/2020,9:33,32337.4,32342.8,32334,32334,0,0
BANKNIFTY,1/1/2020,9:34,32340.1,32340.1,32327.1,32331.4,0,0
BANKNIFTY,1/1/2020,9:35,32330.9,32332.4,32317.9,32324.4,0,0
BANKNIFTY,1/1/2020,9:36,32326.3,32329.3,32312.1,32313.8,0,0
BANKNIFTY,1/1/2020,9:37,32313.4,32313.4,32288.7,32305.9,0,0
BANKNIFTY,1/1/2020,9:38,32304.4,32306.8,32287.8,32290.9,0,0
BANKNIFTY,1/1/2020,9:39,32291.6,32294.6,32284.3,32292.4,0,0
BANKNIFTY,1/1/2020,9:40,32290.6,32294,32286.6,32290.8,0,0
BANKNIFTY,1/1/2020,9:41,32289.7,32291.8,32279.8,32279.9,0,0
BANKNIFTY,1/1/2020,9:42,32280.8,32281.7,32237.9,32259.7,0,0
BANKNIFTY,1/1/2020,9:43,32259.9,32267.5,32256,32256.8,0,0
BANKNIFTY,1/1/2020,9:44,32258.1,32261.9,32251.7,32254.7,0,0
BANKNIFTY,1/1/2020,9:45,32255.4,32255.4,32245.2,32247.3,0,0
BANKNIFTY,1/1/2020,9:46,32247.6,32251.8,32217.1,32221.1,0,0
BANKNIFTY,1/1/2020,9:47,32221.1,32221.1,32178.6,32185.2,0,0
BANKNIFTY,1/1/2020,9:48,32182.8,32193.6,32175.4,32189.1,0,0
BANKNIFTY,1/1/2020,9:49,32187.6,32207.8,32181.9,32206.6,0,0
BANKNIFTY,1/1/2020,9:50,32205.3,32210.1,32193.9,32195.4,0,0
BANKNIFTY,1/1/2020,9:51,32193.5,32193.5,32169.2,32185.4,0,0
BANKNIFTY,1/1/2020,9:52,32185.6,32194,32181.4,32191.3,0,0
BANKNIFTY,1/1/2020,9:53,32187.9,32214.3,32187.9,32212.8,0,0
BANKNIFTY,1/1/2020,9:54,32211.1,32211.7,32201.8,32202.1,0,0
BANKNIFTY,1/1/2020,9:55,32200.9,32205.7,32187.4,32190.8,0,0
BANKNIFTY,1/1/2020,9:56,32188.4,32192.6,32183.4,32188.4,0,0
BANKNIFTY,1/1/2020,9:57,32188.7,32212.1,32187.8,32200.8,0,0
BANKNIFTY,1/1/2020,9:58,32200.2,32203.1,32189.1,32191.7,0,0
BANKNIFTY,1/1/2020,9:59,32190.6,32200.1,32190.6,32195.1,0,0
BANKNIFTY,1/1/2020,10:00,32194.8,32207.9,32189.7,32206,0,0
BANKNIFTY,1/1/2020,10:01,32204.2,32207.6,32196.2,32201.7,0,0
BANKNIFTY,1/1/2020,10:02,32200.9,32203.3,32189.4,32189.7,0,0
BANKNIFTY,1/1/2020,10:03,32189.7,32196.5,32189.1,32191.4,0,0
BANKNIFTY,1/1/2020,10:04,32191.4,32192.8,32177.8,32181.3,0,0
BANKNIFTY,1/1/2020,10:05,32181.4,32189.8,32180.4,32189.8,0,0
BANKNIFTY,1/1/2020,10:06,32189.6,32192.8,32178,32181.8,0,0
BANKNIFTY,1/1/2020,10:07,32180.3,32186.8,32176.4,32179.9,0,0
BANKNIFTY,1/1/2020,10:08,32182.3,32185.7,32179.2,32183.4,0,0
BANKNIFTY,1/1/2020,10:09,32183.8,32187.8,32178.3,32185,0,0
BANKNIFTY,1/1/2020,10:10,32184.8,32186.1,32136.3,32148.7,0,0
BANKNIFTY,1/1/2020,10:11,32147.4,32155.8,32131.2,32150.9,0,0
BANKNIFTY,1/1/2020,10:12,32151.9,32161.5,32149.1,32154.5,0,0
BANKNIFTY,1/1/2020,10:13,32159.1,32162.7,32147.2,32155.3,0,0
BANKNIFTY,1/1/2020,10:14,32151.8,32160.1,32140.6,32141.8,0,0
BANKNIFTY,1/1/2020,10:15,32140.7,32147.3,32134.6,32142.3,0,0
BANKNIFTY,1/1/2020,10:16,32142.6,32149.1,32134.8,32139.3,0,0
BANKNIFTY,1/1/2020,10:17,32136.6,32142.6,32133.6,32139.2,0,0
BANKNIFTY,1/1/2020,10:18,32140.2,32158.2,32140.2,32155.3,0,0
BANKNIFTY,1/1/2020,10:19,32158.6,32159.1,32143.5,32151.4,0,0
BANKNIFTY,1/1/2020,10:20,32149.8,32154.1,32145.9,32152,0,0
BANKNIFTY,1/1/2020,10:21,32151.8,32168.7,32151.1,32167.6,0,0
BANKNIFTY,1/1/2020,10:22,32167.2,32174.6,32165.4,32171.1,0,0
BANKNIFTY,1/1/2020,10:23,32171.3,32174,32155.6,32155.6,0,0
BANKNIFTY,1/1/2020,10:24,32156,32162.8,32155.1,32159.8,0,0
BANKNIFTY,1/1/2020,10:25,32160.8,32167,32155.5,32162.9,0,0
BANKNIFTY,1/1/2020,10:26,32164.9,32165.3,32152.9,32157.3,0,0
BANKNIFTY,1/1/2020,10:27,32156.3,32180.6,32156.3,32178.9,0,0
BANKNIFTY,1/1/2020,10:28,32179.7,32185.1,32172.3,32177.2,0,0
BANKNIFTY,1/1/2020,10:29,32179.1,32185.4,32177.3,32185.4,0,0
BANKNIFTY,1/1/2020,10:30,32185.4,32188.1,32171.1,32171.1,0,0
BANKNIFTY,1/1/2020,10:31,32174.4,32174.4,32127.2,32127.5,0,0
BANKNIFTY,1/1/2020,10:32,32125.6,32144.8,32125.6,32137.1,0,0
BANKNIFTY,1/1/2020,10:33,32139.9,32149.6,32137.8,32147.4,0,0
BANKNIFTY,1/1/2020,10:34,32143.8,32157.4,32143.8,32156.3,0,0
BANKNIFTY,1/1/2020,10:35,32156.2,32162.1,32154,32157.3,0,0
BANKNIFTY,1/1/2020,10:36,32156.1,32161.3,32147.8,32147.8,0,0
BANKNIFTY,1/1/2020,10:37,32147.7,32151.4,32134.7,32143.4,0,0
